Harvest ,Species,Treatment ,Tag,Pot,Week,Height
2,VS,8%,H2VS8,30,2,59
2,VS,8%,H2VS8,35,2,29
2,VS,8%,H2VS8,37,2,43
2,VS,8%,H2VS8,40,2,28
2,VS,8%,H2VS8,45,2,33
2,VS,8%,H2VS8,65,2,50
2,VS,8%,H2VS8,90,2,9
2,VS,8%,H2VS8,96,2,23
2,VS,16%,H2VS16,4,2,32
2,VS,16%,H2VS16,31,2,32
2,VS,16%,H2VS16,66,2,56
2,VS,16%,H2VS16,86,2,9
2,VS,16%,H2VS16,94,2,9
2,VS,16%,H2VS16,95,2,14
2,VS,16%,H2VS16,100,2,9
2,VS,16%,H2VS16,106,2,9
2,VS,16%,H2VS16,108,2,9
2,VS,16%,H2VS16,111,2,9
2,VE,4%,H2VE4,91,2,32
2,VE,4%,H2VE4,93,2,35
2,VE,4%,H2VE4,108,2,41
2,VE,4%,H2VE4,134,2,28
2,VE,4%,H2VE4,157,2,29
2,VE,4%,H2VE4,197,2,9
2,VE,4%,H2VE4,198,2,9
2,VE,4%,H2VE4,199,2,9
2,VE,4%,H2VE4,201,2,9
2,VE,4%,H2VE4,208,2,9
2,VE,4%,H2VE4,227,2,9
2,VE,4%,H2VE4,340,2,9
2,VE,8%,H2VE8,120,2,30
2,VE,8%,H2VE8,128,2,25
2,VE,8%,H2VE8,139,2,16
2,VE,8%,H2VE8,143,2,28
2,VE,8%,H2VE8,145,2,31
2,VE,8%,H2VE8,152,2,21
2,VE,8%,H2VE8,158,2,23
2,VE,8%,H2VE8,190,2,9
2,VE,8%,H2VE8,195,2,9
2,VE,8%,H2VE8,207,2,9
2,VE,8%,H2VE8,278,2,9
2,VE,16%,H2VE16,107,2,33
2,VE,16%,H2VE16,122,2,19
2,VE,16%,H2VE16,142,2,22
2,VE,16%,H2VE16,162,2,33
2,VE,16%,H2VE16,164,2,9
2,VE,16%,H2VE16,167,2,9
2,VE,16%,H2VE16,176,2,9
2,VE,16%,H2VE16,178,2,9
2,VE,16%,H2VE16,180,2,9
2,VE,16%,H2VE16,185,2,9
2,VE,16%,H2VE16,186,2,9
2,VE,16%,H2VE16,238,2,9
3,VS,4%,H3VS4,19,15,295
3,VS,4%,H3VS4,21,1,0
3,VS,4%,H3VS4,21,2,22
3,VS,4%,H3VS4,21,3,55
3,VS,4%,H3VS4,21,4,64
3,VS,4%,H3VS4,21,5,80
3,VS,4%,H3VS4,21,6,82
3,VS,4%,H3VS4,21,7,93
3,VS,4%,H3VS4,21,8,110
3,VS,4%,H3VS4,21,9,116
3,VS,4%,H3VS4,21,10,144
3,VS,4%,H3VS4,21,11,209
3,VS,4%,H3VS4,21,12,230
3,VS,4%,H3VS4,21,13,225
3,VS,4%,H3VS4,21,14,238
3,VS,4%,H3VS4,21,15,311
3,VS,4%,H3VS4,22,1,35
3,VS,4%,H3VS4,22,2,44
3,VS,4%,H3VS4,22,3,52
3,VS,4%,H3VS4,22,4,67
3,VS,4%,H3VS4,22,5,81
3,VS,4%,H3VS4,22,6,87
3,VS,4%,H3VS4,22,7,105
3,VS,4%,H3VS4,22,8,113
3,VS,4%,H3VS4,22,9,143
3,VS,4%,H3VS4,22,10,179
3,VS,4%,H3VS4,22,11,233
3,VS,4%,H3VS4,22,12,255
3,VS,4%,H3VS4,22,13,258
3,VS,4%,H3VS4,22,14,266
3,VS,4%,H3VS4,22,15,203
3,VS,4%,H3VS4,78,1,0
3,VS,4%,H3VS4,78,2,21
3,VS,4%,H3VS4,78,3,27
3,VS,4%,H3VS4,78,4,35
3,VS,4%,H3VS4,78,5,50
3,VS,4%,H3VS4,78,6,61
3,VS,4%,H3VS4,78,7,60
3,VS,4%,H3VS4,78,8,69
3,VS,4%,H3VS4,78,9,73
3,VS,4%,H3VS4,78,10,79
3,VS,4%,H3VS4,78,11,102
3,VS,4%,H3VS4,78,12,104
